,"Type","Date","Num","Due Date","Aging","Open Balance"
,"Bill","06/02/2017",,"06/02/2017","9",160.00
"Total Phoenician Market",,,,,,160.00
"PNC Merchant",,,,,,
,"Bill Pmt -Check","04/01/2017","ACH",,,-1.25
"Total PNC Merchant",,,,,,-1.25
"PSE&G 263 04",,,,,,
,"Bill","06/01/2017",,"06/16/2017",,171.18
"Total PSE&G 263 04",,,,,,171.18
"PSE&G 943 07",,,,,,
,"Bill Pmt -Check","12/16/2015","online",,,-399.32
,"Bill","10/28/2015","October","11/12/2015","577",225.30
,"Bill","06/01/2017",,"06/16/2017",,654.21
"Total PSE&G 943 07",,,,,,480.19
"PSE&G/7118",,,,,,
,"Bill","06/01/2017",,"06/16/2017",,76.20
"Total PSE&G/7118",,,,,,76.20
"Richard Menashe-",,,,,,
,"Bill","09/01/2012","Prior YEar","10/01/2012","1714",405.29
"Total Richard Menashe-",,,,,,405.29
"Select Nutrition",,,,,,
,"Credit","06/03/2016","overpayment",,,-39.45
"Total Select Nutrition",,,,,,-39.45
"Stiles Apiaries",,,,,,
,"Bill","04/17/2017","15740","05/17/2017","25",845.52
"Total Stiles Apiaries",,,,,,845.52
"United Natural Foods, Inc.",,,,,,
,"Credit","05/02/2017","31885674",,,-86.70
,"Credit","05/11/2017",,,,-21.76
,"Bill","05/26/2017","32253092","06/02/2017","9",772.79
,"Bill","06/09/2017","32462127","06/16/2017",,1009.52
"Total United Natural Foods, Inc.",,,,,,1673.85
"Xlear Inc",,,,,,
,"Bill Pmt -Check","06/14/2013","141697",,,-50.00
,"Bill Pmt -Check","10/11/2013","141932",,,-200.00
,"Bill","11/27/2013","570168","12/27/2013","1262",304.44
"Total Xlear Inc",,,,,,54.44
"TOTAL",,,,,,17617.04
