,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
,"Sales Receipt","07/10/2017","115230","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3679.47
,"Sales Receipt","07/10/2017","115230","Store Sales",,"1500 · Undeposited Store Sales",3.39,-3676.08
,"Check","07/11/2017","144047","USPS",,"-SPLIT-",-49.00,-3725.08
,"Bill Pmt -Check","07/11/2017","144048","City of New Brunswick-Water","2 23 002820","2000 · Accounts Payable",-103.37,-3828.45
,"Sales Receipt","07/11/2017","115232","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",3.85,-3824.60
,"Sales Receipt","07/11/2017","115232","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3824.60
,"Sales Receipt","07/11/2017","115232","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",230.00,-3594.60
,"Sales Receipt","07/11/2017","115232","Store Sales","MC/VISA","1500 · Undeposited Store Sales",318.38,-3276.22
,"Sales Receipt","07/11/2017","115232","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3276.22
,"Sales Receipt","07/11/2017","115232","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3276.22
,"Sales Receipt","07/11/2017","115232","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",8.91,-3267.31
,"Liability Check","07/12/2017",,"QuickBooks Payroll Service","Created by Payroll Service on 07/11/2017","2111 · Direct Deposit Liabilities",-386.17,-3653.48
,"Sales Receipt","07/12/2017","115231","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",60.65,-3592.83
,"Sales Receipt","07/12/2017","115231","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3592.83
,"Sales Receipt","07/12/2017","115231","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",310.00,-3282.83
,"Sales Receipt","07/12/2017","115231","Store Sales","MC/VISA","1500 · Undeposited Store Sales",503.76,-2779.07
,"Sales Receipt","07/12/2017","115231","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-2779.07
,"Sales Receipt","07/12/2017","115231","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-2779.07
,"Sales Receipt","07/12/2017","115231","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",4.45,-2774.62
,"Paycheck","07/13/2017","144049","Gallagher, Sean",,"-SPLIT-",-352.97,-3127.59
,"Paycheck","07/13/2017","oldaflacpmt","Phipps, Arnette",,"-SPLIT-",0.00,-3127.59
,"Paycheck","07/13/2017","191","Rechani, Phillip J","Direct Deposit","-SPLIT-",0.00,-3127.59
,"Paycheck","07/13/2017","190","Leary, John","Direct Deposit","-SPLIT-",0.00,-3127.59
,"Paycheck","07/13/2017","144050","Wright, Bob",,"-SPLIT-",-141.04,-3268.63
,"Bill Pmt -Check","07/13/2017",,"Pest-Gon, Inc.",,"2000 · Accounts Payable",-64.13,-3332.76
,"Sales Receipt","07/13/2017","115233","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",84.53,-3248.23
,"Sales Receipt","07/13/2017","115233","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3248.23
,"Sales Receipt","07/13/2017","115233","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",258.00,-2990.23
,"Sales Receipt","07/13/2017","115233","Store Sales","MC/VISA","1500 · Undeposited Store Sales",512.52,-2477.71
,"Sales Receipt","07/13/2017","115233","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-2477.71
,"Sales Receipt","07/13/2017","115233","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-2477.71
,"Sales Receipt","07/13/2017","115233","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",6.78,-2470.93
,"Deposit","07/13/2017",,,"Deposit","1050 · Register Cash",22.75,-2448.18
,"Sales Receipt","07/14/2017","115234","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",92.84,-2355.34
,"Sales Receipt","07/14/2017","115234","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-2355.34
,"Sales Receipt","07/14/2017","115234","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",276.00,-2079.34
,"Sales Receipt","07/14/2017","115234","Store Sales","MC/VISA","1500 · Undeposited Store Sales",322.02,-1757.32
,"Sales Receipt","07/14/2017","115234","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-1757.32
,"Sales Receipt","07/14/2017","115234","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-1757.32
,"Sales Receipt","07/14/2017","115234","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",1.06,-1756.26
,"Bill Pmt -Check","07/14/2017","ACH","KeHE","40172011","2000 · Accounts Payable",-2013.60,-3769.86
,"Sales Receipt","07/15/2017","115235","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",2.75,-3767.11
,"Sales Receipt","07/15/2017","115235","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3767.11
,"Sales Receipt","07/15/2017","115235","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",258.64,-3508.47
,"Sales Receipt","07/15/2017","115235","Store Sales","MC/VISA","1500 · Undeposited Store Sales",375.72,-3132.75
,"Sales Receipt","07/15/2017","115235","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3132.75
,"Sales Receipt","07/15/2017","115235","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3132.75
,"Sales Receipt","07/15/2017","115235","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",8.21,-3124.54
,"Bill Pmt -Check","07/16/2017","ACH","PNC Merchant","THIS IS A RECORD OF FEES. NOT A BILL","2000 · Accounts Payable",-434.67,-3559.21
,"Sales Receipt","07/16/2017","115236","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",2.75,-3556.46
,"Sales Receipt","07/16/2017","115236","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3556.46
,"Sales Receipt","07/16/2017","115236","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",186.00,-3370.46
,"Sales Receipt","07/16/2017","115236","Store Sales","MC/VISA","1500 · Undeposited Store Sales",88.75,-3281.71
,"Sales Receipt","07/16/2017","115236","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3281.71
,"Sales Receipt","07/16/2017","115236","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3281.71
,"Sales Receipt","07/16/2017","115236","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",14.15,-3267.56
,"Bill Pmt -Check","07/17/2017","144051","Albert's Organics",,"2000 · Accounts Payable",-490.16,-3757.72
,"Bill Pmt -Check","07/17/2017","144052","Fresh Tofu",,"2000 · Accounts Payable",-268.11,-4025.83
,"Bill Pmt -Check","07/17/2017","144053","JMT Food Group",,"2000 · Accounts Payable",-112.00,-4137.83
,"Bill Pmt -Check","07/17/2017","144054","Nadine Hazar Natural Foods",,"2000 · Accounts Payable",-300.60,-4438.43
,"Bill Pmt -Check","07/17/2017","144055","Phoenician Market","07/03/17-07/14/17","2000 · Accounts Payable",-180.00,-4618.43
,"Bill Pmt -Check","07/17/2017","144056","United Natural Foods, Inc.","3229","2000 · Accounts Payable",-932.93,-5551.36
,"Bill Pmt -Check","07/17/2017","online","PSE&G 263 04","66 583 263 04","2000 · Accounts Payable",-254.41,-5805.77
,"Bill Pmt -Check","07/17/2017","online","PSE&G 943 07","67 092 943 07","2000 · Accounts Payable",-1003.03,-6808.80
,"Bill Pmt -Check","07/17/2017","online","PSE&G/7118","June 2017","2000 · Accounts Payable",-122.82,-6931.62
,"Sales Receipt","07/17/2017","115237","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",11.01,-6920.61
,"Sales Receipt","07/17/2017","115237","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-6920.61
,"Sales Receipt","07/17/2017","115237","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",568.00,-6352.61
,"Sales Receipt","07/17/2017","115237","Store Sales","MC/VISA","1500 · Undeposited Store Sales",516.33,-5836.28
,"Sales Receipt","07/17/2017","115237","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-5836.28
,"Sales Receipt","07/17/2017","115237","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-5836.28
,"Sales Receipt","07/17/2017","115237","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",5.76,-5830.52
,"Liability Check","07/18/2017","E-pay","United States Treasury","22-2126644 QB Tracking # 364764932","-SPLIT-",-1127.64,-6958.16
,"Sales Receipt","07/18/2017","115240","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",3.66,-6954.50
,"Sales Receipt","07/18/2017","115240","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-6954.50
,"Sales Receipt","07/18/2017","115240","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",420.00,-6534.50
,"Sales Receipt","07/18/2017","115240","Store Sales","MC/VISA","1500 · Undeposited Store Sales",344.83,-6189.67
,"Sales Receipt","07/18/2017","115240","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-6189.67
,"Sales Receipt","07/18/2017","115240","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-6189.67
,"Sales Receipt","07/18/2017","115240","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",0.00,-6189.67
,"Sales Receipt","07/19/2017","115239","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",25.53,-6164.14
,"Sales Receipt","07/19/2017","115239","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-6164.14
,"Sales Receipt","07/19/2017","115239","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",311.56,-5852.58
,"Sales Receipt","07/19/2017","115239","Store Sales","MC/VISA","1500 · Undeposited Store Sales",431.38,-5421.20
,"Sales Receipt","07/19/2017","115239","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-5421.20
,"Sales Receipt","07/19/2017","115239","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales","",-5421.20
,"Sales Receipt","07/19/2017","115239","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",16.27,-5404.93
,"Paycheck","07/20/2017","144057","Gallagher, Sean",,"-SPLIT-",-362.77,-5767.70
,"Paycheck","07/20/2017","144058","Phipps, Arnette",,"-SPLIT-",-2.80,-5770.50
,"Paycheck","07/20/2017","193","Rechani, Phillip J","Direct Deposit","-SPLIT-",0.00,-5770.50
,"Paycheck","07/20/2017","192","Leary, John","Direct Deposit","-SPLIT-",0.00,-5770.50
,"Paycheck","07/20/2017","144059","Wright, Bob",,"-SPLIT-",-141.05,-5911.55
,"Liability Check","07/20/2017",,"QuickBooks Payroll Service","Created by Payroll Service on 07/18/2017","2111 · Direct Deposit Liabilities",-394.92,-6306.47
,"Sales Receipt","07/20/2017","115242","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",9.83,-6296.64
,"Sales Receipt","07/20/2017","115242","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-6296.64
,"Sales Receipt","07/20/2017","115242","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",298.00,-5998.64
,"Sales Receipt","07/20/2017","115242","Store Sales","MC/VISA","1500 · Undeposited Store Sales",535.94,-5462.70
,"Sales Receipt","07/20/2017","115242","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-5462.70
,"Sales Receipt","07/20/2017","115242","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-5462.70
,"Sales Receipt","07/20/2017","115242","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",0.00,-5462.70
,"Sales Receipt","07/21/2017","115243","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",74.03,-5388.67
,"Sales Receipt","07/21/2017","115243","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-5388.67
,"Sales Receipt","07/21/2017","115243","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",345.00,-5043.67
,"Sales Receipt","07/21/2017","115243","Store Sales","MC/VISA","1500 · Undeposited Store Sales",383.56,-4660.11
,"Sales Receipt","07/21/2017","115243","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-4660.11
,"Sales Receipt","07/21/2017","115243","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-4660.11
,"Sales Receipt","07/21/2017","115243","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",1.06,-4659.05
,"Sales Receipt","07/22/2017","115244","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",5.82,-4653.23
,"Sales Receipt","07/22/2017","115244","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-4653.23
,"Sales Receipt","07/22/2017","115244","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",177.00,-4476.23
,"Sales Receipt","07/22/2017","115244","Store Sales","MC/VISA","1500 · Undeposited Store Sales",237.90,-4238.33
,"Sales Receipt","07/22/2017","115244","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-4238.33
,"Sales Receipt","07/22/2017","115244","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-4238.33
,"Sales Receipt","07/22/2017","115244","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",3.39,-4234.94
,"Sales Receipt","07/23/2017","115245","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",0.00,-4234.94
,"Sales Receipt","07/23/2017","115245","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-4234.94
,"Sales Receipt","07/23/2017","115245","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",136.00,-4098.94
,"Sales Receipt","07/23/2017","115245","Store Sales","MC/VISA","1500 · Undeposited Store Sales",394.16,-3704.78
,"Sales Receipt","07/23/2017","115245","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3704.78
,"Sales Receipt","07/23/2017","115245","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3704.78
,"Sales Receipt","07/23/2017","115245","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",0.00,-3704.78
,"Sales Receipt","07/24/2017","115246","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",5.89,-3698.89
,"Sales Receipt","07/24/2017","115246","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3698.89
,"Sales Receipt","07/24/2017","115246","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",318.00,-3380.89
,"Sales Receipt","07/24/2017","115246","Store Sales","MC/VISA","1500 · Undeposited Store Sales",310.99,-3069.90
,"Sales Receipt","07/24/2017","115246","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3069.90
,"Sales Receipt","07/24/2017","115246","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3069.90
,"Sales Receipt","07/24/2017","115246","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",8.90,-3061.00
,"Bill Pmt -Check","07/25/2017","144060","Farm Family","Farm Family Payments, Auto Withdrawl","2000 · Accounts Payable",-293.90,-3354.90
,"Bill Pmt -Check","07/25/2017","144061","Fresh Tofu",,"2000 · Accounts Payable",-260.85,-3615.75
,"Deposit","07/25/2017",,,"Deposit","1050 · Register Cash",54.00,-3561.75
,"Bill Pmt -Check","07/25/2017","mastercard","Big Lots","Kind Bars","2000 · Accounts Payable",-25.00,-3586.75
,"Bill Pmt -Check","07/25/2017","online","First National Bank Omaha-6723","4418229223076723","2000 · Accounts Payable",-159.00,-3745.75
,"Transfer","07/25/2017",,,"Closing the 0632 savings account","1045 · New Millennium Equity 0632",100.00,-3645.75
,"Sales Receipt","07/25/2017","115247","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",6.31,-3639.44
,"Sales Receipt","07/25/2017","115247","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3639.44
,"Sales Receipt","07/25/2017","115247","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",211.00,-3428.44
,"Sales Receipt","07/25/2017","115247","Store Sales","MC/VISA","1500 · Undeposited Store Sales",357.43,-3071.01
,"Sales Receipt","07/25/2017","115247","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3071.01
,"Sales Receipt","07/25/2017","115247","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3071.01
,"Sales Receipt","07/25/2017","115247","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",10.61,-3060.40
,"Liability Check","07/26/2017",,"QuickBooks Payroll Service","Created by Payroll Service on 07/25/2017","2111 · Direct Deposit Liabilities",-403.00,-3463.40
,"Sales Receipt","07/26/2017","115248","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",7.20,-3456.20
,"Sales Receipt","07/26/2017","115248","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3456.20
,"Sales Receipt","07/26/2017","115248","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",171.00,-3285.20
,"Sales Receipt","07/26/2017","115248","Store Sales","MC/VISA","1500 · Undeposited Store Sales",516.41,-2768.79
,"Sales Receipt","07/26/2017","115248","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-2768.79
,"Sales Receipt","07/26/2017","115248","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-2768.79
,"Sales Receipt","07/26/2017","115248","Store Sales","Tab to be paid","1500 · Undeposited Store Sales",11.02,-2757.77
,"Paycheck","07/27/2017","144062","Gallagher, Sean",,"-SPLIT-",-360.06,-3117.83
,"Paycheck","07/27/2017","144063","Phipps, Arnette",,"-SPLIT-",-18.10,-3135.93
,"Paycheck","07/27/2017","195","Rechani, Phillip J","Direct Deposit","-SPLIT-",0.00,-3135.93
,"Paycheck","07/27/2017","194","Leary, John","Direct Deposit","-SPLIT-",0.00,-3135.93
,"Paycheck","07/27/2017","144064","Wright, Bob",,"-SPLIT-",-145.55,-3281.48
,"Bill Pmt -Check","07/27/2017",,"Raccoon Garbage Pit","QuickBooks generated zero amount transaction for bill payment stub","2000 · Accounts Payable",0.00,-3281.48
,"Deposit","07/27/2017",,,"Deposit for Ghosts","7800 · Donations",0.00,-3281.48
,"Check","07/27/2017","144065","John Leary-","Partial payment for KeHE order to John","4700 · Purchase Adjustments",-500.00,-3781.48
"Total 1030 · New Millennium Operating 0433",,,,,,,1780.76,-3781.48
"TOTAL",,,,,,,1780.76,-3781.48
